client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
4c81270f49ada076d376a968994e1533674531b0fae8969d6243651d0a86d3d2bb24e8e82065808cc8e860acf71a5a86e0c318f4efa5b8d3327f6fffde5e132f	common_voice_id_19192526.mp3	Kamar adik laki-laki saya lebih sempit daripada kamar saya.	2	0	twenties	male		id	
4c81270f49ada076d376a968994e1533674531b0fae8969d6243651d0a86d3d2bb24e8e82065808cc8e860acf71a5a86e0c318f4efa5b8d3327f6fffde5e132f	common_voice_id_19192527.mp3	Ayah akan membunuhku.	2	0	twenties	male		id	
4c81270f49ada076d376a968994e1533674531b0fae8969d6243651d0a86d3d2bb24e8e82065808cc8e860acf71a5a86e0c318f4efa5b8d3327f6fffde5e132f	common_voice_id_19192528.mp3	Ini pulpen.	2	0	twenties	male		id	
4c81270f49ada076d376a968994e1533674531b0fae8969d6243651d0a86d3d2bb24e8e82065808cc8e860acf71a5a86e0c318f4efa5b8d3327f6fffde5e132f	common_voice_id_19192535.mp3	Akira pandai bermain tenis.	2	0	twenties	male		id	
4c81270f49ada076d376a968994e1533674531b0fae8969d6243651d0a86d3d2bb24e8e82065808cc8e860acf71a5a86e0c318f4efa5b8d3327f6fffde5e132f	common_voice_id_19192536.mp3	Dia keluar dari ruangan tanpa mengatakan sepatah kata pun.	2	1	twenties	male		id	
4c81270f49ada076d376a968994e1533674531b0fae8969d6243651d0a86d3d2bb24e8e82065808cc8e860acf71a5a86e0c318f4efa5b8d3327f6fffde5e132f	common_voice_id_19192537.mp3	Besok Anda akan bertemu dengan siapa.	2	0	twenties	male		id	
4c81270f49ada076d376a968994e1533674531b0fae8969d6243651d0a86d3d2bb24e8e82065808cc8e860acf71a5a86e0c318f4efa5b8d3327f6fffde5e132f	common_voice_id_19192551.mp3	Aku mengerti maksudmu.	2	0	twenties	male		id	
4c81270f49ada076d376a968994e1533674531b0fae8969d6243651d0a86d3d2bb24e8e82065808cc8e860acf71a5a86e0c318f4efa5b8d3327f6fffde5e132f	common_voice_id_19192552.mp3	Tolong lepas jasmu.	2	0	twenties	male		id	
4c81270f49ada076d376a968994e1533674531b0fae8969d6243651d0a86d3d2bb24e8e82065808cc8e860acf71a5a86e0c318f4efa5b8d3327f6fffde5e132f	common_voice_id_19192553.mp3	Saya mengerti dua bahasa asing.	2	1	twenties	male		id	
4c81270f49ada076d376a968994e1533674531b0fae8969d6243651d0a86d3d2bb24e8e82065808cc8e860acf71a5a86e0c318f4efa5b8d3327f6fffde5e132f	common_voice_id_19192561.mp3	Jim mahir dalam Bahasa Perancis dan Jerman.	2	0	twenties	male		id	
4c81270f49ada076d376a968994e1533674531b0fae8969d6243651d0a86d3d2bb24e8e82065808cc8e860acf71a5a86e0c318f4efa5b8d3327f6fffde5e132f	common_voice_id_19192563.mp3	Gajah Afrika memiliki telinga lebih besar dibandingkan gajah Asia.	2	0	twenties	male		id	
4c81270f49ada076d376a968994e1533674531b0fae8969d6243651d0a86d3d2bb24e8e82065808cc8e860acf71a5a86e0c318f4efa5b8d3327f6fffde5e132f	common_voice_id_19192564.mp3	Dia sengaja menginjak kaki saya di kereta.	2	0	twenties	male		id	
4c81270f49ada076d376a968994e1533674531b0fae8969d6243651d0a86d3d2bb24e8e82065808cc8e860acf71a5a86e0c318f4efa5b8d3327f6fffde5e132f	common_voice_id_19192575.mp3	Asalkan beberapa orang memahamiku.	2	0	twenties	male		id	
4c81270f49ada076d376a968994e1533674531b0fae8969d6243651d0a86d3d2bb24e8e82065808cc8e860acf71a5a86e0c318f4efa5b8d3327f6fffde5e132f	common_voice_id_19192577.mp3	Tidak ada yang mengerti aku.	2	0	twenties	male		id	
4c81270f49ada076d376a968994e1533674531b0fae8969d6243651d0a86d3d2bb24e8e82065808cc8e860acf71a5a86e0c318f4efa5b8d3327f6fffde5e132f	common_voice_id_19192586.mp3	Intinya adalah ibu terlalu sibuk.	2	0	twenties	male		id	
4c81270f49ada076d376a968994e1533674531b0fae8969d6243651d0a86d3d2bb24e8e82065808cc8e860acf71a5a86e0c318f4efa5b8d3327f6fffde5e132f	common_voice_id_19192588.mp3	Rumah saya terletak di sebuah bukit.	2	0	twenties	male		id	
4c81270f49ada076d376a968994e1533674531b0fae8969d6243651d0a86d3d2bb24e8e82065808cc8e860acf71a5a86e0c318f4efa5b8d3327f6fffde5e132f	common_voice_id_19192614.mp3	Apa saya masih mampu melakukannya?	2	0	twenties	male		id	
4c81270f49ada076d376a968994e1533674531b0fae8969d6243651d0a86d3d2bb24e8e82065808cc8e860acf71a5a86e0c318f4efa5b8d3327f6fffde5e132f	common_voice_id_19192616.mp3	Pak Tanaka sudah menikah dan punya anak.	2	1	twenties	male		id	
4c81270f49ada076d376a968994e1533674531b0fae8969d6243651d0a86d3d2bb24e8e82065808cc8e860acf71a5a86e0c318f4efa5b8d3327f6fffde5e132f	common_voice_id_19192617.mp3	Tokyo lebih ramai dibandingkan Beijing.	2	1	twenties	male		id	
4c81270f49ada076d376a968994e1533674531b0fae8969d6243651d0a86d3d2bb24e8e82065808cc8e860acf71a5a86e0c318f4efa5b8d3327f6fffde5e132f	common_voice_id_19192619.mp3	Saya menyusun mangkuk dan sumpit di atas meja.	2	0	twenties	male		id	
4c81270f49ada076d376a968994e1533674531b0fae8969d6243651d0a86d3d2bb24e8e82065808cc8e860acf71a5a86e0c318f4efa5b8d3327f6fffde5e132f	common_voice_id_19192625.mp3	Tom terlihat bersimpati.	2	0	twenties	male		id	
4c81270f49ada076d376a968994e1533674531b0fae8969d6243651d0a86d3d2bb24e8e82065808cc8e860acf71a5a86e0c318f4efa5b8d3327f6fffde5e132f	common_voice_id_19192627.mp3	Saya ingin membayar.	2	0	twenties	male		id	
